Sergey Butakov,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/15
Luo Si,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/186
Jose P. Gonzalez-brenes,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/98
Jose P. Gonzalez-brenes,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/42
Jose P. Gonzalez-brenes,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/67
Jose P. Gonzalez-brenes,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/167
Vania Dimitrova,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/2
Nabila Bousbia,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/114
Stefan Droschler,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/30
Lars Schmidt-thieme,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/68
K. Stefanova,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/106
Christopher Teplovs,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/57
Christopher Teplovs,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/60
David Sanchez de Castro,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/21
Marta Zorrilla,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/101
Marta Zorrilla,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/48
Marta Zorrilla,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/93
Bruce Sherin,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/38
Blair Lehman,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/151
Derick Leony,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/21
Brent Morgan,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/23
Bob Dolan,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/37
Tomaas Horvath,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/68
Leigh Ann Sudol-delyser,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/31
Leigh Ann Sudol-delyser,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/83
Vassilios Protonotarios,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/48
Nevin Darwish,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/115
Kurt Vanlehn,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/233
Kurt Vanlehn,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/61
Gerben W. Dekker,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/195
Sadhana Puntambekar,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/222
Rafael A. Calvo,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/149
Rafael A. Calvo,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/174
Venniraiselvi Sundararaju,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/31
Hendrik Drachsler,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/67
Hendrik Drachsler,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/10
Hendrik Drachsler,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/72
Hendrik Drachsler,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/46
Jonathan P. Rowe,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/96
C. Marquez-vera,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/78
Liane Beuster,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/36
Niels Pinkwart,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/214
Richard Alterman,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/37
Marian Simko,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/208
Cristian Moldovan,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/17
Mareike Bultmann,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/73
Martin Schon,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/26
Paul Prinsloo,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/36
Daniel Guerra,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/15
Koichi Yastake,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/86
Stuart Russell,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/59
Lili Wu,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/219
Carolyn P. Rose,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/189
Keith E. Maull,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/132
Keith E. Maull,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/170
Hao Cen,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/219
Hao Cen,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/177
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/78
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/236
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/60
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/122
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/231
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/4
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/1
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/224
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/191
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/92
C. Romero,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/169
M. Croy,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/212
M. Croy,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/162
M. Croy,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/109
Daniel Roberge,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/42
Joshua D. Baron,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/31
Luis de la Fuente Valentin,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/21
Nadira Saab,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/108
Johan Jeuring,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/4
Dave Barker-plummer,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/89
Dave Barker-plummer,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/196
Dave Barker-plummer,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/3
Brendon Towle,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/190
Brendon Towle,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/66
D. Zielke,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/57
Jana Krivec,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/172
Martin Ebner,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/26
Alvaro Ortigosa,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/201
Alvaro Ortigosa,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/166
Katja Niemann,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/33
Katja Niemann,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/47
Beijie Xu,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/131
Beijie Xu,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/134
Beijie Xu,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/76
Robert Dale,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/196
Robert Dale,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/89
Robert Dale,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/3
Lorrie Lehman,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/212
Kevin D. Ashley,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/214
Angela Z. Wagner,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/39
Carlos Monzo,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/6
Carlos Monzo,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/17
Vida Groznik,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/172
Jared Tritz,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/22
R. Pedraza-perez,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/60
Issam Rebai,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/114
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/139
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/90
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/168
J. Gobert,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/138
Kathleen Perez-Lopez,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/14
Eun Young Ha,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/120
Brandon White,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/8
Amelia Zafra,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/200
Katrien Verbert,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/72
Katrien Verbert,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/46
Katrien Verbert,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/28
Philip Pavlik,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/32
Pedro Crespo,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/16
Nikita Romashkin,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/87
Nikita Romashkin,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/104
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/152
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/183
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/216
Elizabeth Ayers,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/187
Jihie Kim,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/28
Ivana Quinto,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/50
Anna De Liddo,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/50
Wu He,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/71
NO_AUTHORS,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/65
Jaan Ubi,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/137
Amar Balla,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/114
Moses Hall,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/233
Andrew Olney,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/157
Andrew Olney,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/151
Adarsh G V,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/28
Zoran Jeremic,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/3
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/133
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/43
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/181
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/34
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/162
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/212
John C. Stamper,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/56
A. A. Von Davier,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/99
P. S. Inventado,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/102
Blikstein,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/77
S. Lalle,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/88
Nema Dean,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/187
Nema Dean,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/152
Nema Dean,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/216
Nema Dean,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/183
Robert Kraut,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/158
Vasile Rus,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/199
Vasile Rus,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/17
W. Van Den Noortgate,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/72
W. Van Den Noortgate,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/94
Lubomir Popelinsky,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/5
Diane Halpern,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/32
Diane Halpern,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/173
P. Desmet,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/72
P. Desmet,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/94
Kwangsu Cho,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/218
Ari Bader-Natal,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/58
Nobal Niraula,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/17
Minjeong Kim,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/75
Kar-Hai Chu,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/30
G. Goguadze,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/81
Brian J. McNely,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/12
Ahmad Ammari,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/2
Yanbo Xu,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/82
Yanbo Xu,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/52
Yanbo Xu,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/76
Yanbo Xu,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/53
Anjo Anjewierden,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/108
S. Sosnovsky,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/81
David Wiley,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/59
Simone Braun,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/29
David Nadler Prata,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/189
Tobias Ley,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/16
Younyoung Choi,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/160
Sidney D'mello,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/123
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/212
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/24
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/162
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/181
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/175
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/109
Tiffany Barnes,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/75
Shane Dawson,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/69
Shane Dawson,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/62
Shane Dawson,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/51
William Galen,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/44
M'hammed Abdous,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/71
Haiming Liu,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/27
Kaicheng Yang,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/68
Christin Seifert,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/16
Ilya M. Goldin,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/6
Roberto Martinez Maldonado,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/64
Roberto Martinez Maldonado,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/35
M. Munna,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/82
Brett Leber,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/228
Diederik M. Roijers,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/4
Sharon Slade,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/36
Michal Burda,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/184
M. Ifland,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/111
Emma Brunskill,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/103
Emma Brunskill,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/13
Emma Brunskill,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/21
Emma Brunskill,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/59
Nicolai Manie,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/45
Dmitry Ignatov,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/104
Dmitry Ignatov,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/87
Bao Hong Tan,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/98
Bao Hong Tan,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/140
Philip Parli-Horne,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/12
Victor Miagkikh,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/44
Kate Miller,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/22
Beverly Park Woolf,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/146
Beverly Park Woolf,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/154
Lori Lockyer,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/62
Anna Lea Dyckhoff,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/73
Whitney Cade,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/151
Whitney Cade,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/157
Peter Brusilovsky,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/118
Carin Neitzel,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/117
Anupriya Gupta,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/155
Cherng-Jyh Yen,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/71
Benjamin Wolf,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/113
Benjamin Wolf,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/156
Michael Atkisson,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/59
Sicco Verwer,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/121
Rasil Warnakulasooriya,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/44
Tim Krones,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/33
Kyle Cunningham,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/228
Yoav Bergner,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/30
Nell Duke,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/209
Rebecca Ferguson,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/43
Rebecca Ferguson,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/27
Rebecca Ferguson,http://data.linkededucation.org/resource/lak/specialissue/jets12/paper/74
Rebecca Ferguson,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/35
Doug Clow,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/19
Doug Clow,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/55
Christian Schunn,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/141
Ivon Arroyo,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/154
Ivon Arroyo,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/146
F. Lemmerich,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/111
Thomas L. Griffiths,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/41
Yue Gong,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/179
Yue Gong,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/136
Yue Gong,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/205
Yue Gong,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/80
James A. Bernauer,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/142
Jhonny Estrella,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/166
Cesar Hervas,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/236
Cesar Hervas,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/231
Donatella Merlini,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/27
Sherry Hsi,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/134
Junichi Kakegawa,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/203
Jay C. Powell,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/142
Thomas Lotze,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/58
Carlos De Castro,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/191
Jon Dron,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/41
Elizabeth A. Mclaughlin,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/43
Carol Forsyth,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/32
Carol Forsyth,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/173
David G. Cooper,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/154
Matthew D. Pistilli,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/13
Haiyun Bian,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/159
Jose Antonio Moran,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/6
Jose Antonio Moran,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/17
U. Schroeder,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/57
Benjamin Shih,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/221
Benjamin Shih,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/164
N. Trcka,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/51
N. Trcka,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/194
Jean-marc Labat,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/114
Judy Kay,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/64
Judy Kay,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/35
Greg Logan,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/52
Claudia Antunes,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/95
Claudia Antunes,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/16
Claudia Antunes,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/210
S. Isotani,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/81
V. Kisimov,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/106
Pokpong Songmuang,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/147
Roland Hubscher,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/222
Sten Govaerts,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/28
Michel C. Desmarais,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/110
Michel C. Desmarais,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/238
Michel C. Desmarais,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/163
Michel C. Desmarais,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/25
Suchismita Srinivas,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/155
Aatish Salvi,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/39
Eitel J.M. Lauria,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/31
Jon M. Fincham,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/135
Carrie Demmans Epp,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/52
G. Akcaponar,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/55
Steve Ritter,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/56
Steve Ritter,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/34
Steve Ritter,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/190
James C. Lester,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/120
James C. Lester,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/26
E. Cambranes,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/58
Anna Schmidt,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/33
John R. Anderson,http://data.linkededucation.org/resource/lak/conference/edm2010/paper/135
Judi Mccuaig,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/11
Schreurs Bieke,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/7
Ruth Deakin Crick,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/34
Boris Wenzlaff,http://data.linkededucation.org/resource/lak/conference/edm2012/paper/36
Lorenzo Moreno,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/107
Daniel Dickison,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/190
Maria Bielikova,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/208
Nazim Rahman,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/63
Nazim Rahman,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/41
Mike Sharkey,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/18
Mike Sharkey,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/64
Noboru Matsuda,http://data.linkededucation.org/resource/lak/conference/edm2011/paper/65
Adriana M.j.b. De Carvalho,http://data.linkededucation.org/resource/lak/conference/edm2008/paper/237
Adriana M.j.b. De Carvalho,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/189
Yue Cui,http://data.linkededucation.org/resource/lak/conference/edm2009/paper/189
Aneesha Bakharia,http://data.linkededucation.org/resource/lak/conference/lak2011/paper/51
Robert Bramucci,http://data.linkededucation.org/resource/lak/conference/lak2012/paper/20
